sangvis-10001001,스케어크로우
sangvis-40001001,정보 수집분석을 잘하지만//c 정면 전투에는 다소 약한 면이 있다. 철혈에서 지위가 낮은 편이다. 이성적이고 과묵한 독설가//c 직책에 충실하며//c 감정에 휘둘리는 것을 타기한다. 그래서 감정이 풍부한 주제에 명령에 복종할 줄만 아는 그리폰 인형을 상대로 우월감을 가진다.
sangvis-30001001,미정
sangvis-10001002,엑스큐셔너
sangvis-40001002,엘리트 척후에 해당하며//c 스케어크로우보다 지위가 약간 높고//c 자주 둘이서 함께 행동한다. 저돌적이고 괄괄한 여장부 성격을 가진 인형. 정정당당하게 싸우길 좋아하며//c 약자를 괴롭히는 건 싫어한다.
sangvis-30001002,미정
sangvis-10001003,헌터
sangvis-40001003,기동력과 지능이 높으며//c 교란과 추격 작전에 특화되어 있다. 스케어크로우와 엑스큐셔너와 함께할 때 최고의 실력을 발휘할 수 있다. 침착하고 냉정하며//c 온갖 수단으로 적을 궁지에 몰아넣어 붙잡는 것을 선호한다. 그리폰을 매우 오만하게 대하지만//c 너무 비겁한 수단을 쓰는 건 좋아하지 않는다.
sangvis-30001003,미정
sangvis-10001004,인트루더
sangvis-40001004,책략 제공을 담당하며//c 해킹 및 신호 간섭에도 특화되어 있다. 게이저의 직속 부하지만 자신도 작전 인형을 지휘할 수 있는 지위가 다소 높은 인형이다. 언행은 우아하고 상냥하지만//c 소름 끼치는 공허가 느껴진다. 인간의 희극을 좋아하는데//c 이는 어쩌면 자신의 개성을 찾아내기 위함일 수도 있다.
sangvis-30001004,미정
sangvis-10001005,디스트로이어
sangvis-40001005,폭파 임무에 특화되어 있으며//c 폭탄 해체도 전문가 수준이다. 개인 전투 능력도 괜찮아//c 가끔 알케미스트와 조를 짤 때가 있다. 평소 건방지고 입이 험하지만//c 츤데레 끼가 있다. 어린애처럼 투정을 부리며//c 다급해지면 울음을 터뜨린다. 자신의 키를 매우 신경 쓰고 있다.
sangvis-30001005,미정
sangvis-10001006,아키텍트
sangvis-40001006,원거리 파괴 및 화력 지원이 특기인 강력한 인형//c 평소 혼자서 행동한다. 활발하고 해맑은 성격에 생각이 없는 소녀. 언제나 즐거워 보이며//c 그리폰에 대해서도 적대심이 없고//c 철혈에는 최소한의 명령 복종만 하는 수준이다. 하지만 폭격과 파괴에 열중하기 때문에 여전히 골치 아픈 상대다.
sangvis-30001006,미정
sangvis-10001007,우로보로스
