()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:<color=#00CCFF>【No.2051-05-09】</color>+<color=#00CCFF>【データ読み取り中……再生開始】</color>
温柔的女声()<Speaker>優しい女性の声</Speaker>||<BGM>BGM_Wake</BGM>:今週だけでもう5回目ですよ……//nまだ火曜日なのに！損傷の頻度が高すぎます！
冷静的男声()<Speaker>冷静な男性の声</Speaker>||:必要なことだ。+この戦いはあまりにも長引いている。一刻も早くテストを終え、//n次世代強銃兵を実戦に投入できるようにするのが、上の命令だ。+■■■、君も分かっているだろう？//nこいつらを実戦に投入できたら、あいつらに我々に対抗する術はなくなる。
温柔的女声()<Speaker>優しい女性の声</Speaker>||:分かっています。でもこんな高強度の衝撃テスト……//nいくら人形でも耐えられません！//n他の方法、例えばAIで強銃兵を操縦させるべきなのでは？
冷静的男声()<Speaker>冷静な男性の声</Speaker>||:それだとプログラムの開発に時間がかかる。
温柔的女声()<Speaker>優しい女性の声</Speaker>||:それでも無意味な損傷は……
冷静的男声()<Speaker>冷静な男性の声</Speaker>||:戦争を一刻も早く終わらせるために、必要なことなんだ。
温柔的女声()<Speaker>優しい女性の声</Speaker>||:なら私が愛ちゃんの代わりになります。
冷静的男声()<Speaker>冷静な男性の声</Speaker>||:59898を大事にしているのは分かっている。//n彼女らは高価な上に、人間にそっくりだからな。+だが最後、あの機体に乗るのは君だ。//nこれは君のためにしていることなんだぞ。
温柔的女声()<Speaker>優しい女性の声</Speaker>||:でも……
冷静的男声()<Speaker>冷静な男性の声</Speaker>||<黑屏1><SE1>AVG_door_storehouse</SE1>:■■■、あまり彼女たちに感情移入するな。+つまるところ我々は人間で、彼女たちは道具に過ぎない。//n君は彼女たちよりもずっと重要な存在だ、くれぐれも勘違いはするな。+先に失礼する。
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:【機体修復完了。再起動中】+【再起動完了】
88typePilot(0)<Speaker>江城愛</Speaker>||<睁眼><BIN>70</BIN>:……
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:起きたのね。+おはよう、愛ちゃん。
TestPilot(0);88typePilot(0)<Speaker>江城愛</Speaker>||:【所有者の感情低下を確認、実行 慰めモード】
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:……フフ、あなたはいつもそう。+出会った時から、何かを伝えたくなると、いつも私の手を掴むの。
TestPilot(0);88typePilot(0)<Speaker>江城愛</Speaker>||:【過去の記録と照会中】+【照会完了。実行 頷く】
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:やっぱり。あなたは喋れないけど、いつも私の話を聞いてくれる……+この基地に来てから、//n他の人たちよりあなたと一緒にいる時間の方が、ずっと長い。+多分あの人たちの誰よりも、あなたの方が私のことをよく知っている。
TestPilot(0);88typePilot(0)<Speaker>江城愛</Speaker>||:【所有者の意図を判断中】+【判断失敗】
