furniture_classes-10000001,ハロウィン
furniture_classes-20000001,ハロウィンとは古代ケルト人の新年に由来するもので、子供たちがお化けに扮してお菓子をねだる。お菓子をあげないと家ごと爆破される可能性もあるので、ご注意を。
furniture_classes-30000001,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000002,初期
furniture_classes-20000002,IOPにより支給された品々。
furniture_classes-30000002,
furniture_classes-10000003,新世界(I)
furniture_classes-20000003,素晴らしい戦後の世界へようこそ。ここで生き伸びるには、常に準備と警戒を怠らないこと、そしてボトルの水以外は飲まないこと。
furniture_classes-30000003,
furniture_classes-10000004,オータム
furniture_classes-20000004,指揮官たちの疲れた心を癒すためにデザインされた可愛いインテリア。今回のテーマは温かい秋で、女性に人気がある模様。
furniture_classes-30000004,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000005,新世界(II)
furniture_classes-20000005,素晴らしい戦後の世界へようこそ。ここで生き伸びるには、常に準備と警戒を怠らないこと、そしてボトルの水以外は飲まないこと。
furniture_classes-30000005,
furniture_classes-10000006,LOFT
furniture_classes-20000006,貧しさゆえに廃工場にしか住めなかった芸術家たちにより考案された様式だったが、百年後には戦後スタイルとして流行し、指揮官たちが競って求める稀少なものとなっている。
furniture_classes-30000006,同一宿舍内に8点以上設置すると、追加快適度を獲得。
furniture_classes-10000007,静かな日常
furniture_classes-20000007,落ち着いた雰囲気の家具セット。おとなしい性格の人形はことのほか安心するらしい。部屋中をアクアブルーの穏やかな空気で染め上げよう。
furniture_classes-30000007,
furniture_classes-10000008,キュートな日常
furniture_classes-20000008,可愛さ満点の家具セット。元気で活発な人形に大人気。部屋中をピンクの可愛いオーラで染め上げよう。
furniture_classes-30000008,
furniture_classes-10000009,司令室
furniture_classes-20000009,司令室風の家具セット。これにより、人形たちは家にいながら指揮官の繁忙な日常を体験できるように...もちろん全部新品だよ。余りものじゃないんだから。
furniture_classes-30000009,揃えると宿舍内で思いもよらぬ現象が起こる。
furniture_classes-10000010,喫茶店
furniture_classes-20000010,大戦前に流行した文化施設。「カフェイン補充」という名の喫茶店だが、実際は普段集中力を保てない作家たちの創作における聖地となっている。
furniture_classes-30000010,
furniture_classes-10000011,暖冬の和室
furniture_classes-20000011,ほんのり暖かい和風がテーマの家具セットで、厳しい冬でも人々を幸せな気持ちにさせてくれる。部屋の中から雪景色を楽しもう。
furniture_classes-30000011,同一宿舍内に6点以上設置すると、追加快適度を獲得。
furniture_classes-10000012,厳冬の和室
