bingo_task-10000001,普通战役挑战
bingo_task-20000001,战斗胜利情况下挑战任意普通战役3次
bingo_task-10000002,夜战战役挑战
bingo_task-20000002,战斗胜利情况下挑战任意夜战战役1次
bingo_task-10000003,紧急战役挑战
bingo_task-20000003,战斗胜利情况下挑战任意紧急战役2次
bingo_task-10000004,救援人形
bingo_task-20000004,在任意关卡或战斗中累计救援任意人形5个
bingo_task-10000005,人形强化
bingo_task-20000005,进行5次人形强化
bingo_task-10000006,装备强化
bingo_task-20000006,进行5次装备强化
bingo_task-10000007,消耗人形制造契约
bingo_task-20000007,累计消耗人形制造契约*4
bingo_task-10000008,消耗装备制造契约
bingo_task-20000008,累计消耗装备制造契约*4
bingo_task-10000009,消耗快速制造契约
bingo_task-20000009,累计消耗快速制造契约*4
bingo_task-10000010,消耗快速修复契约
bingo_task-20000010,累计消耗快速修复契约*4
bingo_task-10000011,消耗人力
bingo_task-20000011,累计消耗人力*1500（自律除外）
bingo_task-10000012,消耗弹药
bingo_task-20000012,累计消耗弹药*1500（自律除外）
bingo_task-10000013,消耗口粮
bingo_task-20000013,累计消耗口粮*1500（自律除外）
bingo_task-10000014,消耗零件
bingo_task-20000014,累计消耗零件*500（自律除外）
bingo_task-10000015,获得好友电池
bingo_task-20000015,累计从好友处获得10次共享电池
bingo_task-10000016,爱心搜集
bingo_task-20000016,累计搜集20个爱心（包括战术人形与格琳娜）
bingo_task-10000017,使用好友梯队
bingo_task-20000017,累计使用3次好友的支援梯队
bingo_task-10000018,获得HG战术人形
bingo_task-20000018,获得任意手枪战术人形*3
bingo_task-10000019,获得SMG战术人形
bingo_task-20000019,获得任意冲锋枪战术人形*3
bingo_task-10000020,获得AR战术人形
bingo_task-20000020,获得任意突击步枪战术人形*3
bingo_task-10000021,获得MG战术人形
bingo_task-20000021,获得任意机枪战术人形*3
bingo_task-10000022,获得RF战术人形
bingo_task-20000022,获得任意步枪战术人形*3
bingo_task-10000023,配件装备
bingo_task-20000023,获得任意配件类装备*3
bingo_task-10000024,弹匣装备
bingo_task-20000024,获得任意弹匣类装备*3
bingo_task-10000025,人形装备
bingo_task-20000025,获得任意人形类装备*3
bingo_task-10000026,人形重造
bingo_task-20000026,进行1次人形重型制造
bingo_task-10000027,装备重造
bingo_task-20000027,进行1次装备重型制造
bingo_task-10000028,行动回报-快速制造契约
bingo_task-20000028,通过后勤支援获得快速制造契约*1
bingo_task-10000029,行动回报-快速修复契约
bingo_task-20000029,通过后勤支援获得快速修复契约*1
bingo_task-10000030,行动回报-装备制造契约
bingo_task-20000030,通过后勤支援获得装备制造契约*1
bingo_task-10000031,行动回报-人形制造契约
bingo_task-20000031,通过后勤支援获得人形制造契约*1
bingo_task-10000032,消灭BOSS
bingo_task-20000032,战斗胜利情况下消灭5个BOSS
bingo_task-10000033,装甲机械铁血兵
bingo_task-20000033,战斗胜利情况下消灭10个装甲机械铁血兵
bingo_task-10000034,普通机械铁血兵
bingo_task-20000034,战斗胜利情况下消灭20个普通机械铁血兵
bingo_task-10000035,普通人形铁血兵
bingo_task-20000035,战斗胜利情况下消灭30个普通人形铁血兵
bingo_task-10000036,累计后勤支援时长
bingo_task-20000036,在后勤支援完成的情况下累计后勤12小时
bingo_task-10000037,消耗校准点券
bingo_task-20000037,累计消耗校准点券*30
bingo_task-10000038,模拟作战
bingo_task-20000038,累计进行模拟作战2次
bingo_task-10000039,技能升级
bingo_task-20000039,进行1次技能升级（人形、妖精皆可）
bingo_task-10000040,战斗大师
bingo_task-20000040,以S评价完成10场战斗
bingo_task-10000041,自律作战
bingo_task-20000041,任意关卡完成自律作战1次
bingo_task-10000042,波板糖
bingo_task-20000042,累计获得波板糖*1（可通过退库2星、3星家具获得）
bingo_task-10000043,脆皮甜筒
bingo_task-20000043,累计获得脆皮甜筒*1（可通过退库4星家具获得）
bingo_task-10000044,好友问候
bingo_task-20000044,通过聊天向好友问候1次
bingo_task-10000045,点赞使者
bingo_task-20000045,累计点赞他人宿舍20次
bingo_task-10000046,申请好友
bingo_task-20000046,申请好友1次
bingo_task-10000047,礼物赠送
bingo_task-20000047,累计赠送礼物10份
bingo_task-10000048,消耗电池
bingo_task-20000048,累计消耗电池*100
bingo_task-10000049,获得核心
bingo_task-20000049,累积获得核心*3
