commander_uniform-10001010,防毒面具
commander_uniform-20001010,即使在末日也不能放弃自己，顺便在里面敷个面膜吧。
commander_uniform-10001020,头戴式矿灯
commander_uniform-20001020,决定成为指引他人的明灯了吗？3//c2//c1——好，敌人看到你了！
commander_uniform-10001030,脏污的大衣
commander_uniform-20001030,对衣服来说脏污也未必不是一种荣耀，和人类的伤疤同理。
commander_uniform-10001040,沾上灰尘的徽章
commander_uniform-20001040,我们迟早会擦掉这些灰尘，就像我们总会用血去洗刷耻辱。
commander_uniform-10001050,破损的长裤
commander_uniform-20001050,直到看见曙光之前，我们都要继续在血和泥土里跋涉……往好里想，我们可以到达终点再换掉这条裤子。
commander_uniform-10001111,男性头部
commander_uniform-20001111,职场短发，符合礼节而不减时尚。
commander_uniform-10001112,女性头部
commander_uniform-20001112,规矩的长发，温婉但容易挂到奇怪的东西。
commander_uniform-10001120,格里芬定制贝雷帽
commander_uniform-20001120,能让看见你的人迅速认出你的身份，这是它在装饰品之外起到的唯一作用。
commander_uniform-10001131,制服大衣（男）
commander_uniform-20001131,具备优良的吸湿性能，使你不会在敌方面前汗流浃背。
commander_uniform-10001132,制服大衣（女）
commander_uniform-20001132,具备优良的保暖性能，使你不会在敌方面前脊背发凉。
commander_uniform-10001140,新人任职徽章
commander_uniform-20001140,这是你得到的第一份荣誉，珍惜它吧。
commander_uniform-10001151,黑色长裤
commander_uniform-20001151,看起来普通的长裤，但非常耐磨。
commander_uniform-10001152,黑色短裙
commander_uniform-20001152,看起来普通的职场短裙，但其实是方便行动的裙裤。
commander_uniform-10001211,夏日休闲男性头部
commander_uniform-20001211,为了度假拍照特别修剪的发型，帅气而不厚重。
commander_uniform-10001212,夏日休闲女性头部
commander_uniform-20001212,为了度假拍照特别修剪的发型，美丽而不拖沓。
commander_uniform-10001220,轻便海滩眼镜
commander_uniform-20001220,即使是人造的阳光，也应当给它以尊重。
commander_uniform-10001231,健身成果（男）
commander_uniform-20001231,承受漫长的折磨，正是为了这短暂的展示时间。来吧，不要羞涩地露出你的肌肉！
commander_uniform-10001232,双绑带比基尼
commander_uniform-20001232,肆意欣赏吧！这健美的身材，正是你一次次跨越死亡的根本。
commander_uniform-10001240,夏日情怀配件
commander_uniform-20001240,用最复杂的方式去享受最简单的快乐，这就是仪式感。
commander_uniform-10001251,平角沙滩短裤
commander_uniform-20001251,宽松的短裤，适合享受阳光和沙滩。
commander_uniform-10001252,沙滩休闲鞋
commander_uniform-20001252,可以愉快享受沙滩的鞋子，离开前记得冲洗干净。
commander_uniform-10001310,特种防护服头盔
commander_uniform-20001310,保护头部的部件，可以顺便防御背后的闷棍。
commander_uniform-10001320,特种防护面罩
commander_uniform-20001320,保护面部的部件，可以顺便防御正面的耳光。
commander_uniform-10001330,特种防护服上衣
commander_uniform-20001330,保护躯干的部件，可以顺便防御背刺和腹击。
commander_uniform-10001340,军用背包
commander_uniform-20001340,大容量的背包，设计得宜，不会让你感觉过于沉重。
commander_uniform-10001350,特种防护服下装
commander_uniform-20001350,保护腿脚的部件，可以顺便防御扫堂腿和喜好抱大腿的ELID。
commander_uniform-10001411,夏夜清爽背头
commander_uniform-20001411,为了享受夏夜而生的清爽短发，让额头也被风亲吻吧。
commander_uniform-10001412,流影簪花编发
commander_uniform-20001412,为了享受夏夜而生的优雅编发，让风亲吻你的脸颊吧。
commander_uniform-10001420,夏夜祭典头饰
commander_uniform-20001420,我们正试图用临时制造的饰物来欺骗观察我们数千年的夜晚。
commander_uniform-10001431,夏夜浴衣上装
commander_uniform-20001431,轻便的浴衣，具有良好的透气性。
commander_uniform-10001432,流影浴衣上装
commander_uniform-20001432,轻便的浴衣，绘有美丽的图案。
commander_uniform-10001440,流影和式纸灯
commander_uniform-20001440,月亮问灯笼：明知投向人类会让你变得如此衰弱，为什么还要去照亮他们呢，太阳？
commander_uniform-10001451,夏夜轻便木屐
