weekly-10000001,每周绩效：嗜战追击者
weekly-20000001,战斗胜利情况下消灭100个普通单位。
weekly-10000002,每周绩效：连胜捍卫者
weekly-20000002,战斗胜利情况下消灭200个普通单位。
weekly-10000003,每周绩效：王牌猎人
weekly-20000003,战斗胜利情况下消灭10个BOSS。
weekly-10000004,每周绩效：王牌支援
weekly-20000004,完成50次后勤支援。
weekly-10000005,每周绩效：战斗大师
weekly-20000005,以S评价完成100场战斗。
weekly-10000006,每周绩效：改造能手
weekly-20000006,进行20次战术少女强化。
weekly-10000007,每周绩效：人偶竞赛
weekly-20000007,进行20次战术少女制造。
weekly-10000008,每周绩效：严格教官
weekly-20000008,进行5次技能训练（包括人形/妖精/重装部队/融合势力单位）。
weekly-10000009,每周绩效：电子战士
weekly-20000009,完成20次模拟作战。（不包括融合演习）
weekly-10000010,每周绩效：武装阵线
weekly-20000010,进行20次装备建造。
weekly-10000011,每周绩效：破甲能手
weekly-20000011,战斗胜利情况下消灭100个装甲单位。
weekly-10000012,每周绩效：装甲杀手
weekly-20000012,战斗胜利情况下消灭200个装甲单位。
weekly-10000013,每周绩效：重装扩展
weekly-20000013,进行1次人形重型建造。
weekly-10000014,每周绩效：武装革新
weekly-20000014,进行5次装备校准
weekly-10000015,每周绩效：武装强化
weekly-20000015,进行20次装备强化
weekly-10000016,每周绩效：自动化尝试
weekly-20000016,进行3次装备重型建造。
weekly-10000017,每周绩效：支援专家
weekly-20000017,进行1次妖精强化。
weekly-10000018,每周绩效：数据精算师
weekly-20000018,进行20次情报解析。
weekly-10000019,每周绩效：芯片修补匠
weekly-20000019,累计通过强化消耗20个芯片。
weekly-10000020,每周绩效：数据分析师
weekly-20000020,累计完成10次情报任务。
weekly-10000021,每周绩效：核心收集家
weekly-20000021,累计拆解50个人形。
weekly-10000022,每周绩效：小小探险家
weekly-20000022,进行3次前进营地探索。
weekly-10000023,每周绩效：混沌收编者
weekly-20000023,完成8次收归行动常规回收。
weekly-10000024,每周绩效：虚数推算人
weekly-20000024,完成15次融合演习。
