furniture_classes-10000001,万圣节
furniture_classes-20000001,万圣节源自古凯尔特人的新年，孩子们装扮成鬼怪乞讨糖果，不给糖甚至会炸掉别人的房子，非常可怕。
furniture_classes-30000001,集齐后宿舍内会出现意想不到的现象。
furniture_classes-10000002,初始
furniture_classes-20000002,IOP配发的家居。
furniture_classes-30000002,
furniture_classes-10000003,新世界(I)
furniture_classes-20000003,欢迎来到美好的战后世界，在这里生存的秘诀就在于永远做好准备，保持警惕，以及只喝瓶装水。
furniture_classes-30000003,
furniture_classes-10000004,秋
furniture_classes-20000004,出于抚慰指挥官们疲劳心灵的目的而设计出的可爱家居套装，本次主题是温暖的秋季，似乎很受女性欢迎。
furniture_classes-30000004,同宿舍内布置8件可获得额外舒适度。
furniture_classes-10000005,新世界(II)
furniture_classes-20000005,欢迎来到美好的战后世界，在这里生存的秘诀就在于永远做好准备，保持警惕，以及只喝瓶装水。
furniture_classes-30000005,
furniture_classes-10000006,LOFT
furniture_classes-20000006,因为贫穷只能住在旧厂房里的艺术家们创造的家居风格，却在百年后引领了战后时尚，成为指挥官们竞相追求的稀有补给。
furniture_classes-30000006,同宿舍内布置8件可获得额外舒适度。
furniture_classes-10000007,宁静日常
furniture_classes-20000007,宁静风格的家具组合，性格稳重的人形会倍感安心，让家中荡漾起水蓝色的宁静气息吧。
furniture_classes-30000007,
furniture_classes-10000008,可爱日常
furniture_classes-20000008,可爱风格的家具组合，会深受性格活泼的人形喜爱，让家中洋溢起淡粉色的可爱氛围吧。
furniture_classes-30000008,
furniture_classes-10000009,指挥室
furniture_classes-20000009,指挥室风格的家具组合，让人形们在家中也能感受指挥官的工作日常……承诺全新，绝不是用剩下的。
furniture_classes-30000009,集齐后宿舍内会出现意想不到的现象。
furniture_classes-10000010,咖啡店
furniture_classes-20000010,大战前流行的文化设施，名为补充咖啡因的饮料店，实则是平时难以集中注意力的作家的创作圣地
furniture_classes-30000010,
furniture_classes-10000011,暖冬和风
furniture_classes-20000011,温暖和风主题的家具组合，即使在严寒的冬季也能让人形们体味幸福的气氛，一起在房间欣赏雪花们的日常吧。
furniture_classes-30000011,同宿舍内布置6件可获得额外舒适度。
furniture_classes-10000012,清冬和风
furniture_classes-20000012,清新和风主题的家具组合，即使在冷酷的冬季也能让人形们保持沉静的心情，一起在房间里欣赏凛冬中的日常吧。
furniture_classes-30000012,同宿舍内布置6件可获得额外舒适度。
furniture_classes-10000013,铁血工造
furniture_classes-20000013,铁血工造主题的家具组合，通过还原铁血的资料而生成的设计方案……让人形们体验一次终结者们的午后生活吧。
furniture_classes-30000013,集齐后宿舍内会出现意想不到的现象。
furniture_classes-10000014,圣诞福音
furniture_classes-20000014,圣诞主题的家具组合，在丰盛的晚宴中享受一个温暖而幸福的平安夜吧！……听，人形们都在唱什么？
furniture_classes-30000014,集齐后宿舍内会出现意想不到的现象
furniture_classes-10000015,便利店
