()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>357</BIN><Night>:……深夜的指挥室。+艰难地送走AR15和丹德莱之后，指挥官拨通了通讯。
()<Speaker>指挥官</Speaker><通讯框>||<BGM>m_avg_casual</BGM>:帕斯卡，白天RO发给你的视频，你看得怎么样了？
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>对对对，再左一点，不对，再上去一点，可以了可以了。</color>+<color=#00CCFF>等等，我的书柜不是这样放——</color>
()||<SE1>AVG_lifttable</SE1>:噼里啪啦——
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>哎……搬家真麻烦。</color>+<color=#00CCFF>算了算了，你们先走吧。</color>+<color=#00CCFF>指挥官，基地这么多人形，不考虑开个搬家分部吗？现在市面上这些搬家公司没一个靠谱的……</color>
NPC-Persica(3)<Speaker>指挥官</Speaker><通讯框>||:……+你还在搬家吗？
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>是啊，你们基地留给我的位置也太小了，还有这些放在我房间里的设备，古老得都能做我爷爷了吧。</color>
NPC-Persica(0)<Speaker>指挥官</Speaker><通讯框>||:那是两年前才买的设备……
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>还有啊，我的咖啡机坏掉了，根本没法工作了嘛。</color>
NPC-Persica(0)<Speaker>指挥官</Speaker><通讯框>||:……+你的楼下就是咖啡厅，人形们应该已经休息了，但现在还可以使用自助咖啡机。
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>诶？还有如此人性化的服务……</color>
()||:帕斯卡消失在了通讯框中。+过了一会，帕斯卡端着咖啡心满意足地出现在了通讯框中。
NPC-Persica(2)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>我活过来了。</color>+<color=#00CCFF>好了，我可以开始工作了。</color>
()||:帕斯卡掏出砂糖罐向咖啡杯中倒了起来。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>你之前让RO发送给我的视频，我都看过了。</color>
NPC-Persica(0)<Speaker>指挥官</Speaker><通讯框>||:我想听听你的分析。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>虽然没有准确核实，不过我检索了下柏林的历年新闻数据进行了对比，没有发生过类似的事情。 </color>
NPC-Persica(0)<Speaker>指挥官</Speaker><通讯框>||:所以？
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>我本来想做出可能是什么商业电影之类的推测，但考虑到你发送过来的视频的质量……</color>+<color=#00CCFF>我认为没有哪个富豪会闲得无聊到做这种事。</color>
NPC-Persica(0)<Speaker>指挥官</Speaker><通讯框>||:我们也进行了视频的分析，无论怎么看，都不像是伪造出来的。
