()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker>夏朵利兹</Speaker>||<BGM>BGM_Wake</BGM><common_effect>%%code=NPC_TV_15%%</common_effect><BIN>348</BIN>:……面对市民的游行活动，政府选择的消极对应策略进一步引发了不满。
()<Speaker>夏朵利兹</Speaker>||<黑屏1>:今日，在新哈密尔区的抗议活动导致的暴力行动中，两名柏林警察……
NPC-Light(0)<Speaker>莱特</Speaker>||<BIN>82</BIN><关闭蒙版>%%</关闭蒙版><黑屏2>:……
NPC-Light(0)<Speaker></Speaker>||<SE1>AVG_Door_Open_Close</SE1>:门开了。
NPC-Light(0)<Speaker>莱特</Speaker>||<SE1>AVG_footsteps_woodfloor</SE1>:晚饭我放在冰箱里了。
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:哦。+在看什么？
NPC-Light(0);NPC-Shadowless(8)<Speaker></Speaker>||:夏朵随手将皮包丢在了沙发上，熟练地走向冰箱，从里面拿出了早准备好的冰啤酒。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Shadowless(8)||:新闻。
NPC-Light(0)<Speaker></Speaker>;NPC-Shadowless(8)||:夏朵抿着啤酒，用胳膊撑在了莱特的脑袋上，若有所思地看着电视屏幕。
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:我头发是不是有点翘？
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Shadowless(8)||:你不是戒酒了吗？
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:下班后的冰啤酒里是不含酒精的。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Shadowless(8)||:倒是也没关系，反正姐你一直都在健身。+但是，也要注意一下自己的安全问题。+前天的游行发生暴动的时候，你也在现场吧？
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:你在教我做事？
NPC-Light(0);NPC-Shadowless(8)<Speaker></Speaker>||:夏朵敲了一下莱特的脑袋。
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:如果连这点风险都不愿意担，我就缩在办公室里写通稿了。+跑新闻就是这么回事，你要是真的担心我，就早点辞了你那鬼工作来帮我的忙啊！+我随时都可以帮你空出一个位置！
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Shadowless(8)||:……你明明知道那是不可能的。+我们已经讨论过很多次这种问题了。
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:哼……
NPC-Light(0)<Speaker></Speaker>;NPC-Shadowless(8)||:一转眼，夏朵已经坐到了沙发上，却刻意跟莱特拉开了一段距离。
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:今天白天，你在疗养院吧？
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Shadowless(8)||:没有。
NPC-Light(0)<Speaker></Speaker>;NPC-Shadowless(8)||:莱特下意识地脱口回答，却正对上夏朵笃定的眼神。
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:你以为你骗得过我？+我警告你，去跟凯文说，这个案子谁来负责都行，我不准你参与。
NPC-Light(0)<Speaker>莱特</Speaker>;NPC-Shadowless(8)||:为什么？
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:太危险了。
NPC-Light(0);NPC-Shadowless(8)<Speaker></Speaker>||<黑屏1>:夏朵将手里的啤酒放到了茶几上。
()<Speaker></Speaker>||<common_effect>%%code=NPC_TV_15%%</common_effect><BIN>348</BIN><黑屏2>:此时，电视中的新闻刚好播到了游行暴动的画面。
()<Speaker>夏朵利兹</Speaker>||:“伊登”是块大蛋糕，政府和公司都在盯着它。+你才19岁，卷进这种事是嫌自己死得不够早吗？
()<Speaker></Speaker>||<SE1>Explode</SE1>:轰！+电视内，一阵爆炸的声音传出，正好卡在了两人对话的空隙之间。
()<Speaker>莱特</Speaker>||:我们真的要讨论谁的工作更危险吗？
()<Speaker>夏朵利兹</Speaker>||:我没跟你开玩笑。
()<Speaker>莱特</Speaker>||<黑屏1>:我也没跟你开玩笑，姐姐。
NPC-Light(0)<Speaker></Speaker>||<BIN>82</BIN><关闭蒙版>%%</关闭蒙版><黑屏2><SE1>AVG_tele_disconnect</SE1>:莱特拿起遥控器，关掉了电视。
NPC-Light(0)<Speaker>莱特</Speaker>||:这是我作为官方人员对你的劝告：不要挖得太深了。+这不是媒体该深入的事情，点到即止，否则会惹祸上身的。
NPC-Light(0);NPC-Shadowless(8)<Speaker>夏朵利兹</Speaker>||:莱特！
NPC-Light(0);NPC-Shadowless(10)<Speaker></Speaker>||:夏朵叫住了站起身的莱特，脸色有些难看。
NPC-Light(0);NPC-Shadowless(10)<Speaker>夏朵利兹</Speaker>||:……你不用为妈妈的工作赌上性命。
NPC-Light(0)<Speaker>莱特</Speaker>||:这是我自己的选择，姐姐。+我希望你能理解我……如果你不能。
NPC-Light(0)<Speaker></Speaker>||:他沉默了一下。
NPC-Light(0)<Speaker>莱特</Speaker>||:我会很遗憾。
()<Speaker></Speaker>||<黑屏1>:摇了摇头，莱特转身离开了客厅，回到了自己的房间内。+玻璃杯中的啤酒仍在冒着气泡，但夏朵却已经没有了食欲。
