 ()||<BIN>3</BIN><Night><BGM>BGM_NightOPS</BGM><SE1>Battlefield</SE1>:……战斗进入尾声。
G11(0)<Speaker>G11</Speaker>||:刽子手四肢破坏完毕，目标达成。
HK416(0)<Speaker>HK416</Speaker>;G11(0)||:状态恢复得不错呢，G11。
HK416(0);G11(0)<Speaker>G11</Speaker>||:有你在前面送死……我觉得安心多了。
HK416(0)<Speaker>HK416</Speaker>;G11(0)||:好好感激我吧，以前的你可没这种待遇呢。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:哎呀，大家都是一家人啊，别在乎那么多人情啦。
HK416(0)<Speaker>HK416</Speaker>;UMP9(3)||:如果你是正规出产的，我倒是很想相信你。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:哈哈，有什么区别嘛，我们现在的日子不也挺好的？
G11(0)<Speaker>G11</Speaker>;UMP9(3)||:一点都不好，我想回家……
G11(0);HK416(0)<Speaker>HK416</Speaker>||:接受现实吧，你早就无家可归了……
UMP45()<Speaker>UMP45</Speaker>||<黑屏1>:你们几个，别聊些没用的啦，快帮忙检查刽子手。
UMP9(0)<Speaker>UMP9</Speaker>||<黑屏2>:哼哼，多亏干扰器封闭了通讯，这下我们可以好好“审问”它啦。
UMP9(0)<Speaker>UMP9</Speaker>||<震屏>:（踢了一脚）喂，有什么遗言吗？等我们运走了干扰器，可以帮你传给你们主子哦。
ExcutionerElite(1)<Speaker>刽子手</Speaker>||:真是遗憾，恐怕你们什么都传不出去了……
ExcutionerElite(1)<Speaker>刽子手</Speaker>||<BGM>BGM_Sneak</BGM>:因为这个干扰器周围，全都布满了炸药哦。
G11(2)<Speaker>G11</Speaker>||:……？！炸药？
ExcutionerElite(1)<Speaker>刽子手</Speaker>||:是无法逃脱的高爆炸药哦。只要“砰！”的一声，404也好，干扰器也好，一切都会烟消云散。
UMP9(4)<Speaker>UMP9</Speaker>||:等等！铁血的干扰器，不是你们这次的保护对象吗？！
ExcutionerElite(0)<Speaker>刽子手</Speaker>||<黑屏1>:所以说衔尾蛇那家伙，就是这么个为所欲为的家伙啊……
Weaver(0)<Speaker>刽子手</Speaker>||<BIN>9</BIN><黑屏2>:它从一开始就计划好了，利用猎手拖延时间，由我在干扰器周围安放炸药。+无论你们如何行动，只要到达了这里，结局就只有一个……
Weaver(0)<Speaker>HK416</Speaker>||:衔尾蛇……为什么你会服从那种人形的鬼命令。
Weaver(0)<Speaker>刽子手</Speaker>||<黑屏1>:404小队，你手上的格里芬梯队，难道就有别的选择吗？
ExcutionerElite(0)<Speaker>刽子手</Speaker>||<BIN>3</BIN><黑屏2><Night>:你让她们为了你的利益去送死时，会考虑她们内心的想法吗？
UMP45(2)<Speaker>UMP45</Speaker>||:…………
UMP9(2)<Speaker>UMP9</Speaker>||:45姐……
G11(0)<Speaker>G11</Speaker>||:回不了家了……是吗？
HK416(0)<Speaker>HK416</Speaker>||:（苦笑）那就跪下来道歉吧，45，这一刻我等太久了。
ExcutionerElite(1)<Speaker>刽子手</Speaker>||<黑屏1>:等待人形的，既不是天堂也不是地狱。+404小队，你们就和我一起……+永远地从世上消失吧……
 ()||<BIN>8</BIN><黑屏2><Night><BGM>BGM_Empty</BGM><SE1>Explode</SE1>:……S06区被铁血占领的临时指挥室。
Weaver(0)<Speaker>衔尾蛇</Speaker>||<BGM>BGM_Boss</BGM>:代理人，很遗憾地向您报告。+我们的干扰器，在刚才的爆炸中被破坏了。+炸药是刽子手擅自安放并启动的，现在她可能已经和404小队一起在爆炸中覆灭了。
BOSS-8(0)<Speaker>代理人</Speaker><通讯框>;Weaver(0)||:那个干扰器是【伞计划】实施的重要工具，结果只换掉了四个杂碎人形的贱命……
BOSS-8(0);Weaver(0)<Speaker>衔尾蛇</Speaker>||:抱歉，是我忽视了猎手和刽子手AI中不稳定的成分，没有及时察觉它们的失职。+我已经派遣的梯队前往爆炸地点，确认它们的生还情况。
BOSS-8(0)<Speaker>代理人</Speaker>;Weaver(0)||:这样的结果还确认什么，衔尾蛇。+现在就立即撤退，我要更为详细的报告，听到了吗。
BOSS-8(0);Weaver(0)<Speaker>衔尾蛇</Speaker>||<黑屏1>:是……谨遵您的指令，代理人。
Weaver(1)<Speaker>衔尾蛇</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:全体位于S06区的铁血梯队，听从衔尾蛇的命令……+……扩大对404的搜索范围，将行动效率提升到最高。+一旦发现任何生还的格里芬人形，立刻集中火力将其剿灭！+……光靠这些杂鱼还不够，必须眼见为实。+不亲眼看到404小队的尸体，这次行动就不能落幕！
