()||<BIN>99</BIN><BGM>BGM_Sneak</BGM><黑屏2>:…………
NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:M4，能听到么？
M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>;NPC-Ange(0)||:很清楚。
M4A1Mod(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:我想你也明白，现在已经是很危急的时刻了。+想要阻止军方，光消灭掉铁血是不够的。+我们需要了解得更多，更深入。
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:嗯。
M4A1Mod(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:所以我就说得简单直白了，我已经知道你和主脑要见面。+我猜它交易的条件是失踪的SOP2和M16。
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:…………
M4A1Mod(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:然而事实上你并不抱希望，所以你准备和它同归于尽。
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:已经过去太久了…………你要阻止我吗？
M4A1Mod(0);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:你知道一句话吗？我们的眼睛就是我们的监狱，而目光所及之处就是监狱的围墙。+不要被自己的认知束缚，不要被盲目的仇恨误导。
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:所以呢？所以我就什么都不做么？只是听着你的命令？！+你曾经答应过我让我去寻找我的同伴！但结果呢！
M4A1Mod(4);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:如果她们已经不在了呢？
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:……如果她们已经不在了，那么我要每个伤害她们的人都付出代价！
M4A1Mod(4);NPC-Ange(0)<Speaker>安洁莉娅</Speaker>||:如果要复仇，你又该朝谁复仇？+杀死所有的铁血？杀死叶戈尔上尉？然后呢？
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:不需要然后了。+我不能什么都不做……我不能变回原来的那个我……那个怯懦的我……
