()||<BGM>BGM_NightOPS</BGM><BIN>10</BIN>:…………十分钟后。
PM(0)<Speaker>马卡洛夫</Speaker><通讯框>||:这里还是一片安静呢，铁血还没有行动。
RO()<Speaker>RO</Speaker>||:铁血在拿这座城市进行某种大型武器的火力测试。+所以那个炮击不是针对我们的，92她们活下来的可能性很大。
PM(0)<Speaker>马卡洛夫</Speaker>||:哦？你怎么知道的？
RO()<Speaker>RO</Speaker>||:有人在调查这件事，我刚刚收到的情报。
PM(0)<Speaker>马卡洛夫</Speaker>||:刚刚？在你抱着我哭完之后？
RO()<Speaker>RO</Speaker>||:别说的那么难为情啊！我只是发泄一下而已！
PM(0)<Speaker>马卡洛夫</Speaker>||:原来如此……+顺便一说，我的发泄方式就是把别人的发泄方式公开出去。+我已经录下来了，期待明天的Fatebook吧。
RO()<Speaker>RO</Speaker>||<黑屏1>:…………+所以我才想让92来当副官啊……+好啦，说正经的，让我们开始行动吧。
PM(0)<Speaker>RO</Speaker>||<黑屏2><BIN>8</BIN>:马卡洛夫，你已经在控制台前面了，对吧？+我会把指挥命令传送给你，引导你通过梯队吸引铁血的主力。+而我去亲自确认大家的情况，可以的话，就把所有人都营救回来。
PM(0)<Speaker>马卡洛夫</Speaker>||<黑屏1>:（叹气）我知道了。+让你乖乖躲在指挥室里，你也不甘心吧。+不过我还是得提醒你，这太冒险了。
RO()<Speaker>RO</Speaker>||<黑屏2><BIN>9</BIN>:感谢提醒，不过完成你该做的吧，马卡洛夫。+如果我再遇到意外，你就一个人带着梯队回去。
PM(0)<Speaker>马卡洛夫</Speaker>||:…………+RO，我刚刚从赫丽安那边回来，拿到了很多情报。+包括你想知道的，AR-15留下的那些东西……
RO()<Speaker>RO</Speaker>||:…………
PM(0)<Speaker>马卡洛夫</Speaker>||:给我活着回来，然后我才会告诉你，听到了吗？
RO()<Speaker>RO</Speaker>||<黑屏1>:…………+成交。+在我回来之前，想想你要从哪说起吧。
RO()<Speaker>RO</Speaker>||<黑屏2><BIN>10</BIN>:那么让我们开始行动吧。+指挥操作就交给你了，马卡洛夫。+首先，我要你把准备好的梯队部署在这里……
