()||<BIN>7</BIN><BGM>BGM_Frontline</BGM>:…………
UMP45(0)<Speaker>UMP45</Speaker>||:好了，RO，准备都完成了吧？
RO635(0)<Speaker>RO635</Speaker>||:45，你确定要这么做吗？
UMP45(0)<Speaker>UMP45</Speaker>||:我已经把地图和建议都给你了。剩下的，就看你有多么相信我了。
RO635(0)<Speaker>RO635</Speaker>||:……好吧。
RO635(5)<Speaker>RO635</Speaker>||:各位，接下来，404会潜入基地，关闭炮台的控制电源。
M16(3)<Speaker>M16A1</Speaker>||:还用这招？建筑师不会没有防备的。
UMP45(0)<Speaker>UMP45</Speaker>||:我之前已经观察过了。+以她的控制权，不可能同时防备住全部的电源。
RO635(0)<Speaker>RO635</Speaker>||:虽然只能争取一点时间，但是足够我们离开这里了。
UMP9(0)<Speaker>UMP9</Speaker>||:而且除了炮台的电源，我们还会切断它们的通讯网。+借此打乱它们的行动，还能争取一点时间。
RO635(0)<Speaker>RO635</Speaker>||:就是这样，而M1887这时需要带领其他成员，在战场上吸引计量官的行动。
M1887(0)<Speaker>M1887</Speaker><通讯框>||:RO635，也就是说，我们要同时面对两个头目？
RO635(0)<Speaker>RO635</Speaker>||:是的，这要麻烦你们了，请先备份好心智云图。+不用太担心，404完成行动之前，我会一直为你们提供指挥的。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:可是就算这样，还是勉强了点吧……
RO635(0)<Speaker>RO635</Speaker>||:如果不这么做，我们就再也没机会这么做了。+AR小组会趁机偷袭基地，入侵基地的控制系统，临时打开通往区域外的通道。+最后全员紧急突破通道，一起前往机场迎接救援，听到了吗？
M16(3)<Speaker>M16A1</Speaker>||:RO……+所有人都只能相信你，希望你明白这一点。
RO635(0)<Speaker>RO635</Speaker>||:放心，我记得你说的话。+各位，请相信我，让我们一起回家吧。
M1887(0)<Speaker>M1887</Speaker><通讯框>||:我愿意接受指挥者的所有命令，因为这是人形的第一道命令。
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:非常好，那没有其它异议了吧？+RO，准备最后的作战吧。
