chat_fix_phrases-10000001,嗨，大家好！
chat_fix_phrases-10000002,别紧张
chat_fix_phrases-10000003,请稍等！
chat_fix_phrases-10000004,房主在吗？
chat_fix_phrases-10000005,准备好了吗伙伴们
chat_fix_phrases-10000006,快开始对决吧
chat_fix_phrases-10000007,搞快点，搞快点
chat_fix_phrases-10000008,跪下求饶吧
chat_fix_phrases-10000009,我才是真正的格里芬棋王
chat_fix_phrases-10000010,我一定会让你们知道谁才是格里芬最强的棋手！
chat_fix_phrases-10000011,嗯//c是我!
chat_fix_phrases-10000012,给点面子，等会别整我
chat_fix_phrases-10000013,不接受任何结盟！
chat_fix_phrases-10000014,大可决战到天亮
chat_fix_phrases-10000015,我要求重赛
chat_fix_phrases-10000016,必可活用至下一局
chat_fix_phrases-10000017,哈哈！
chat_fix_phrases-10000018,你好菜呀！
chat_fix_phrases-10000019,对对对
chat_fix_phrases-10000020,哼！可太气人了！
chat_fix_phrases-10000021,漂亮
chat_fix_phrases-10000022,精彩
chat_fix_phrases-10000023,失误！
chat_fix_phrases-10000024,下次一定
chat_fix_phrases-10000025,你已经进入我的射程范围了
chat_fix_phrases-10000026,我起飞了
chat_fix_phrases-10000027,你看我还有机会吗
chat_fix_phrases-10000028,好兄弟，我怎么会害你呢
chat_fix_phrases-10000029,你给我等着
chat_fix_phrases-10000030,结盟吧！不要打我
chat_fix_phrases-10000031,提议集火第一名！
chat_fix_phrases-10000032,久等了，我的回合！
chat_fix_phrases-10000033,我一定会让你们知道谁才是格里芬最强的棋手！
chat_fix_phrases-10000034,高情商：真是一场精彩的对决
chat_fix_phrases-10000035,你的生命已如风中残烛
chat_fix_phrases-10000036,现在求饶还来得及
chat_fix_phrases-10000037,战术少女会有什么坏心思呢？
chat_fix_phrases-10000038,别打我，投降了
chat_fix_phrases-10000039,此刻我就是格里芬水鬼
chat_fix_phrases-10000040,来啊，对狙啊
chat_fix_phrases-10000041,等我投出6就把你们都干掉
chat_fix_phrases-10000042,你告诉我我怎么输？
chat_fix_phrases-10000043,就凭你也想挑战我？
chat_fix_phrases-10000044,友谊第一，友谊第一，把枪放下吧好兄弟
chat_fix_phrases-10000045,这是运气的原因，和我的技术肯定没关系
chat_fix_phrases-10000046,不用慌，这是我战略性调整
chat_fix_phrases-10000047,下次不用RF了跑得贼慢！
chat_fix_phrases-10000048,下次不用HG了身板贼脆！
chat_fix_phrases-10000049,下次不用SMG了总想挨打！
chat_fix_phrases-10000050,哼！可太气人了！
chat_fix_phrases-10000051,求你了，别打我！
chat_fix_phrases-10000052,技不如人，甘拜下风
chat_fix_phrases-10000053,可太气人了！
chat_fix_phrases-10000054,时运不济
chat_fix_phrases-10000055,别打我…
chat_fix_phrases-10000056,祝大家玩的开心！
chat_fix_phrases-10000057,这位指挥官，放轻松
chat_fix_phrases-10000058,good game
chat_fix_phrases-10000059,哈哈，不好意思了！
chat_fix_phrases-10000060,emmmmmm
chat_fix_phrases-10000061,要坚强，别放弃！
chat_fix_phrases-10000062,走好不送
chat_fix_phrases-10000063,赶快点赶快点
chat_fix_phrases-10000064,我还有两个骰子
