()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<BIN>85</BIN><黑屏2>||<SE2>Alarm</SE2><SE1>Explode</SE1>:格里芬临时指挥处。+轰炸仿佛无休无止。+掩体沉默地矗立着，随大地一起颤抖。
()<Speaker>指挥官</Speaker>||<BGM>BGM_Danger</BGM>:有多少人形回来了？
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:只剩一半人了，她们被追进来的军方部队咬住了，现在没法回来！
NPC-Kalin(4)<Speaker>指挥官</Speaker>||:真是纠缠不休……
NPC-Kalin(7)<Speaker>格琳娜</Speaker>||:大家都被打散了，现在基地里情况一片混乱……
NPC-Kalin(7)<Speaker>指挥官</Speaker>||:依托掩体阻击他们，不能让他们和叶戈尔汇合！
NPC-AngeDamage(4)<Speaker>安洁莉娅</Speaker><通讯框>;NPC-Kalin(7)||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>发生了什么？我在这里都听到了爆炸声。</color>
NPC-AngeDamage(4);NPC-Kalin(7)<Speaker>指挥官</Speaker>||:我们叫来了空军轰炸，军方的地面部队应该完蛋了，但是还有一部分敌人冲进基地里来了。
NPC-AngeDamage(4)<Speaker>安洁莉娅</Speaker>;NPC-Kalin(7)||:<color=#00CCFF>啧……叶戈尔的机甲很棘手，好在他们正和铁血纠缠。</color>+<color=#00CCFF>我有一个办法一口气消灭他们，需要你的帮助。</color>
NPC-AngeDamage(4);NPC-Kalin(7)<Speaker>指挥官</Speaker>||:讲吧。
NPC-AngeDamage(4)<Speaker>安洁莉娅</Speaker>;NPC-Kalin(7)||:<color=#00CCFF>我在渗透进这个潜艇基地的时候是从水路进来的，连通潜艇通道的是4个通海阀。</color>+<color=#00CCFF>只要我们能把它们的机甲拖在基地第一层，同时炸掉这四个通海阀。海水就可以送叶戈尔去喂鱼了。</color>+<color=#00CCFF>我把通海阀的位置发给你，位置都在基地地上结构。如果我们这边作战失败，就拜托你引爆通海阀，404小队现在正在朝你们移动，她们也能提供帮助。</color>
NPC-AngeDamage(4);NPC-Kalin(7)<Speaker>指挥官</Speaker>||:那你怎么办？
NPC-AngeDamage(4)<Speaker>安洁莉娅</Speaker>;NPC-Kalin(7)||:<color=#00CCFF>我们不能让敌人得逞，不管哪一个。</color>
NPC-AngeDamage(4);NPC-Kalin(7)<Speaker>指挥官</Speaker>||:……+明白了。
NPC-Kalin(7)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1><BGM>BGM_Empty</BGM>:通讯结束了。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<SE1>ClothingUp</SE1>:指挥官您在做什么？+怎么把防弹背心也拿出来了……+等等，手枪和背包？这不是……
NPC-Kalin(4)<Speaker>指挥官</Speaker>||<BGM>BGM_Wake</BGM>:如你所见，克鲁格给我的。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:我不是说枪的事，您要去做什么？
NPC-Kalin(4)<Speaker>指挥官</Speaker>||:你听到安洁说的话了。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:可是现在人形们还没法回来，您自己出去太危险了！
NPC-Kalin(4)<Speaker>指挥官</Speaker>||:我知道，所以不是只有我去做这件事。+K，拿着这个。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:遥控炸药？
NPC-Jason(1);NPC-Kalin(4)<Speaker>指挥官</Speaker>||:没问题吧，凯恩少校，这点任务应该难不倒你吧。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:我受过的训练比你吃过的饭还多。
NPC-Jason(1)<Speaker></Speaker>;NPC-Kalin(4)||:K一脸不屑地将炸药装进背包，检查起武器。
NPC-Jason(1);NPC-Kalin(4)<Speaker>指挥官</Speaker>||:还没开打就昏过去的人可不是我啊。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:我可不像你一样每次都躲在人形后面。
NPC-Jason(1);NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:等一下……你们不会准备……
NPC-Jason(1);NPC-Kalin(4)<Speaker>指挥官</Speaker>||:就是这个准备，幸好平时的战术培训我一堂课都没拉下。+这是安洁标识的位置，一人负责两个，没问题吧。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:收到。
NPC-Jason(1);NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:给我等一下……请给我等一下！+指挥官，我也！
NPC-Jason(1);NPC-Kalin(4)<Speaker>指挥官</Speaker>||:我也……？
NPC-Jason(1);NPC-Kalin(8)<Speaker>格琳娜</Speaker>||:也给我一个。
NPC-Kalin(8)<Speaker>指挥官</Speaker>||:你说什么？
NPC-Kalin(8)<Speaker></Speaker>||:她伸出手，大声地重复着刚刚打断我的话语。
NPC-Kalin(8)<Speaker>格琳娜</Speaker>||:给我一个！我来帮指挥官负担一个！
NPC-Kalin(8)<Speaker>指挥官</Speaker>||:不，你留在这里。
NPC-Kalin(8)<Speaker></Speaker>||:这个总是笑得很灿烂的后勤官原本并不属于这种危险的战场，却一次次陪我出生入死。+我不能，也无法要求她再一次为我冒险了。
