()||<BIN>99</BIN><BGM>BGM_Room</BGM>:…………
AK12(0)<Speaker>AK-12</Speaker><通讯框>||<BIN>99</BIN>:アンジェ、順調？
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:それは形式上の声かけ？
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:家庭用人形はそもそも、人間の憂さ晴らしのために作られたって聞いたわ。
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:はは……そういう意味でなら、あなたはよくやってくれてるわ。//nおかげで気分もだいぶ良くなった。+さて、まじめな話をしましょ。//nつい先ほど、軍の防衛線を越えたわ……
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:あら……さすが。//n相変わらずの命知らずね。
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:ええ。死にたくても死ねないんだけどね。+一つ悪い知らせよ。軍が戦車を設置し始めたわ。+おまけに大陸横断列車もこの区域に一両配置されてる。//n軍は最初からこの増援を仕込んでいたのよ。
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:重装甲部隊まで？+たかが反乱ロボットの拠点に、そこまでする必要があるのかしら？
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:鉄血には、軍がどうしても手に入れたいものがあるってことね。+どのみち戦車が進撃を始めれば、もう誰も軍を止められなくなるわ。
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:でもまだ時間はあるでしょ？重装部隊の配置には少なくとも三時間はかかるわ。
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:ええ、だから通信中継ステーションを一つマークしたわ。//n速やかにそこを占拠して、新しいポートを見つけてほしい。//nそうすれば、彼らの動きをもっと偵察することができるわ。
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:認識信号の偽装レベルをあげるのに、少し時間が必要よ。+次に自分が何をすべきか、分かってるよね？
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN><黑屏1>:安心して、それを教えてくれる人がいるわ。+ただ、彼女にも少し時間が必要でしょうけどね。
