()||<BIN>22</BIN><黑屏2><BGM>BGM_Empty</BGM>:……数分後。+……ピー。
NPC-Ange(0)<Speaker>アンジェリア</Speaker><通讯框>||<BGM>BGM_Danger</BGM><BIN>22</BIN>:ペルシカ！+あなたの言った通りね。//nAK-12からの報告によると、軍は確かに大規模なハッキングを行っているそうよ。+けれどデータが高度に暗号化されているせいで、転送と傍受が困難よ！
NPC-Persica(3)<Speaker>ペルシカ</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:いいからとりあえず送って、なんとかしてみせるから！
NPC-Persica(3);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>22</BIN>:ダメ、コマンドすら受け付けてくれない！+もう……ここまでかもしれないわ……
NPC-Persica(3)<Speaker>ペルシカ</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:このまま見ていることしかできないの？+アンジェ……+私たちは初めから……勝てない運命だったの……？
NPC-Persica(3);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>22</BIN>:いえ……+まだ最後の手段が残ってるわ……+もう引き返すことはできないのなら……
NPC-Persica(3)<Speaker>ペルシカ</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:最後の手段？+どういうこと、アンジェ？
NPC-Persica(3);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>22</BIN>:ペルシカ、もし私が……
NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:ザー……ザー……
NPC-Persica(1)<Speaker>ペルシカ</Speaker>||<BIN>22</BIN><BGM>BGM_Empty</BGM><黑屏1>:……アンジェ？+もしもし、アンジェ！+何があったの！？
()||<BIN>9</BIN>:……ブーン――！
()||:……
()||:…………
帕斯卡()<Speaker>ペルシカ</Speaker>||:アン……ジェ……？
()||<黑屏1>:……あたり一帯は静ま返っていた。
