()<Speaker>﻿</Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………+残り_39日+……………………+残り_14日+…………………………+残り_1日+…………+残り_02秒+残り_01秒+残り_00秒+AR15 _MIA+……+…………　
RO635()<Speaker>RO635</Speaker>||:M16A1……+これが約束してあった時間なのですか？
M16A1()<Speaker>M16A1</Speaker>||<黑点1>:ああ……+何を期待していたんだろうな。+最後の最後であいつの声が聞こえてきて、すべて冗談だって笑い飛ばしてくれることを……+そうさ……本気でそう期待していたんだ……+だが、そんなことは起きない……+起きるはずがないんだ……
M16A1()<Speaker>M16A1</Speaker>||<BGM>BGM_Truth</BGM><黑点2><BIN>36</BIN>:あの事件のあと、グリフィンはS08地区から完全に撤退してしまった。+本部は失踪した、たった一人の人形捜索のために、鉄血だらけの廃墟に部隊を送り込む余裕なんてなかったんだ。+偵察部隊が39日間も遠隔観察を行ったが、何も進展はなかった。
RO635()<Speaker>RO635</Speaker>||<黑点1>:…………+それはつまり、AR15が……
M16A1()<Speaker>M16A1</Speaker>||<黑点2><BIN>37</BIN><黑点1>:AR15は16LABで秘密裏に造られた特殊な人形だ。//n完全なメンタルモデルを搭載していないから、本部も今すぐその人格を再建することはできないそうだ。+つまりAR小隊のAR15は……私やM4A1、SOP IIとともに戦ったAR15は、もう存在しないのさ……+今はこの最悪の事態を受け入れるしかない……
M16A1()<Speaker>M16A1</Speaker>||<黑点2><BIN>44</BIN>:だが現実は……それ以上に最悪だ……
RO635()<Speaker>RO635</Speaker>||<黑点1>:少し時間はかかりますが、M4A1のことは心配ありません。+それよりも今は、奴らに復讐するための準備に集中しましょう。
M16A1()<Speaker>M16A1</Speaker>||<黑点2><BIN>9</BIN><黑屏1>:ああ、復讐こそが最大の慰めになることは分かっている……+彼女たちにとっても、私たちにとっても、すべての人たちにとってだ……+RO、今回の作戦について説明してくれ。//nもう、うずうずして仕方がないんだ。
()||<BIN>10</BIN><BGM>BGM_Empty</BGM>:グリフィンと鉄血が衝突するS05地区……
RO635(0)<Speaker>RO635</Speaker>||:これからある鉄血ボスの追跡を行います。//nグリフィンは奴こそがわたしたちの管轄を荒らしまわっている主犯だと、見なしているようです。+それに……奴は1カ月前にわたしたちと接触してから、最近また元の基地に戻ったようです。
M16(3)<Speaker>M16A1</Speaker>;RO635(0)||:ドリーマーか……+すぐにでも包囲し、さっさと片付けられないのか？
M16(3);RO635(0)<Speaker>RO635</Speaker>||:それが本体かダミーか確認できないのです。//nそれに奴は鉄血のものとは思えないほど強力な武器を装備しています。+その破壊力は、この目で見たので確かです。//n軽率に行動をとるのは極めて危険です。+なので、友人たちに調査を依頼していたのですよ。//nこれがかなりの収穫があったようで……
M16(3)<Speaker>M16A1</Speaker>;RO635(0)||:友人？
M16(3);RO635(0)<Speaker>RO635</Speaker>||:AR小隊に加わる前、実はある小隊で隊長を務めていたのです。//n指揮モジュールを鍛えたり、テストするための小隊でした。+そのときの隊員たちに、今回は個人的にお願いしました。
M16(0)<Speaker>M16A1</Speaker>;RO635(0)||:お願い？……正規のルートを通してか？
M16(0);RO635(2)<Speaker>RO635</Speaker>||:まあ……それはいいとして……+とにかく、彼女たちに会って情報を得る必要があるわけです。+ですのでSOP IIと手分けして、指定の拠点に向かい彼女たちと合流してください。
M16(0)<Speaker>M16A1</Speaker>;RO635(2)||:分かった。//nだが、途中で鉄血の部隊と遭遇したらどうすればいい。//n 今のS05地区はかなり危険だぞ。
RO635(0)<Speaker>RO635</Speaker>||:指揮官がなんとかしてくれます。//n通行可能になったら作戦を開始しましょう。
