()||<BIN>9</BIN><BGM>BGM_Room</BGM>：…………
M16A1()<Speaker>M16A1</Speaker>||：ペルシカ！+…………+ペルシカ、応答してくれ！
帕斯卡()<Speaker>ペルシカ</Speaker>||<黑屏1>：あっ、今行くよ。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>||<BIN>22</BIN><黑屏2>：ごめんね、今M4の様子を見に行ってたの。
M16(3)<Speaker>M16A1</Speaker><通讯框>;NPC-Persica(0)||：あいつ……大丈夫なのか？
M16(3);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||：今のところは……計画通りよ。+それより、データ保管庫で何をしていたか、ROに見られてないよね……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：ああ、ないよ。//nあいつが来たときにはもう片付いてたからな。
M16(3);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||：よかった……それで、今の状態は？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：ハハっ、今更やめられるだなんて言わないでくれよ。+ただ、どうしても分からないことがあるんだ。//nメンタルモデルの不安定性が引き起こしたおかしな疑問だと思って、答えてくれないか？
M16(3);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||：今さらでしょ、どうしたの。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：リコの死についてだ。//n前にグリフィンのデータベースを調べたとき、378件もの報告が彼の死を事故死としていた。+だから、私にはそこまで執着する理由が分からない……+彼が昔何をしていたとしても、今はこの世にいない。//nなのにどうしてそこまで気にかけてるんだ？
M16(3);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||：その死が疑わしいからよ。+たとえ死ぬにしても、不慮の事故で死ぬなんてあり得ない……+そこがどうしても受け入れられないの。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||：ふっ、意外と鋭いところもあるんだな。+ペルシカ、あんたほんとに研究者か？
M16(3);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||：あなたと同じで、私も命からがら逃げ出した経験があるの。//n生き延びることも一種の技術ね、M16。+とにかく、あなたの目標は例のアレよ。+安全に調査を行えるよう、鉄血の攻勢は指揮官が抑えてくれるわ。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：あの怪しい信号の発信源に……向かえばいいのか？+一体いつから気づいてたんだ？
M16(3);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||：ROが鉄血の基幹ネットワークに侵入して、7号ファイルの捜索を始めたときに……+こっそりROのメンタルモデルを使ってマルチチャンネル検索を行なったんだけど、そのとき面白そうなファイルを見つけて、ついでにダウンロードしておいたの。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：鉄血ネットワーク内のファイルはどれも感染源になり得るんだが……+これも今さらだな。
M16(0);NPC-Persica(2)<Speaker>ペルシカ</Speaker>||：鉄血のウイルスは、ROさえ自分で解決できるほどレベルの低いものよ。//nでも、重要なのはそこじゃない。+このファイルをダウンロードしたのは、その暗号化方式のせいよ。//n鉄血のものとは全然違っていたの。+つまり、これは一通の手紙で、あなたに収穫をもたらす招待状なのよ。//n座標、受け取ったでしょ？
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||：招待状……？+今まで色んな事を経験してきたが、こんなぞっとする招待状は初めてだぞ。
M16(2);NPC-Persica(2)<Speaker>ペルシカ</Speaker>||：どうしたの？//nここにきて怖くなってきた？
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||：私のメンタルも崩壊するかもな……特に今は。+……残念だよ、このメンタルモデルがコピーできないなんて。+積んできた様々な経験も、M4に渡してやれないんだな。
M16(2);NPC-Persica(2)<Speaker>ペルシカ</Speaker>||：何事も彼女と結びつけちゃうのね。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(2)||：ああ……+すべてはM4を守るためだから……+それこそあんたが私に下した唯一、かつ絶対の命令じゃないか。
M16(3);NPC-Persica(2)<Speaker>ペルシカ</Speaker>||：嬉しいわ、覚えててくれて。+あの子はもうすぐ目覚めるわよ、M16。+早く済ませたら、お別れを言う時間ぐらいはある。
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>：もういい、何を話すか考える時間もないし……+それよりさっさといこう。//n今の私には、もうそれしかできないんだから。
