()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>46</BIN><黑屏2><BGM>BGM_Brain</BGM>:……最終的に、防衛戦で十分な時間を稼ぐことができなかった。反逆小隊は時間内に爆弾の設置を終えることができなかった。+指揮官は作戦を諦めざるを得ず、軍がビルに攻め込む前に救援隊を撤退させるしかなかった。+そしてエゴールは……無事アンジェリアの元に辿り着いた。
NPC-YegorDamage(0)<Speaker>エゴール</Speaker>||:アンジェリア、随分と手間をかけさせてくれたな。+予想はしていたが、それでもよくやったと誉めてやろう。+しかし、もうかくれんぼは終わりだ……
NPC-AngeDamage(1)<Speaker>アンジェリア</Speaker>;NPC-YegorDamage(0)||:あなたが来るのも予想していたけど。+まさか一人だけで来るとは予想していなかったわ。
NPC-AngeDamage(1);NPC-YegorDamage(0)<Speaker>エゴール</Speaker>||:このビルに何もないことは確認済みだ。そしてオレの目的は貴様を殺すことだけ、他に手助けなどいらん。
NPC-AngeDamage(1)<Speaker>アンジェリア</Speaker>;NPC-YegorDamage(0)||:こっちにはまだ人形二人がいるわ。エゴール、自分の命をそんなに軽く扱わないことね、私たちも同じぐらいあなたを殺したいと思っているわ。
NPC-AngeDamage(1);NPC-YegorDamage(0)<Speaker>エゴール</Speaker>||:全部貴様のコーラップス爆弾のおかげだ、オレが軍に戻ったらおそらく処分を受けるだろう、そうなったらオレの役目も終わりだ。+だが、ここで殉職すれば、少なくともまだ英雄扱いはされる。
NPC-AngeDamage(1)<Speaker>アンジェリア</Speaker>;NPC-YegorDamage(0)||:あなたは英雄なんかじゃないわ、エゴール。今までも、これからも。
NPC-YegorDamage(0)<Speaker>エゴール</Speaker>||<黑屏1>0,2</黑屏1>:それは、歴史が決めることだ……+そして、歴史は勝者が語る。+だからオレたちは、その勝者となる！
()||<BIN>9</BIN><黑屏2><黑屏1><SE1>Select</SE1>:……エゴールは銃を上げた。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<BIN>9</BIN><黑屏2>:エゴール……+あなたは……勝利というものを知らない。+その代価が何なのか、あなたは永遠に知ることはない！
NPC-YegorDamage(0)<Speaker>エゴール</Speaker>||:勝利の代価……それは歴史となることだ――！
()||<BGM>BGM_Empty</BGM><闪屏><duration>5</duration></闪屏><SE2>Gunkill</SE2>:……バン！
()||<SE2>Gunfight</SE2><黑点1>:……バンバンバン！
()||<BIN>157</BIN><黑点2>:……同刻。
HK416()<Speaker>416</Speaker>||<黑屏1>:<color=#00CCFF>指揮官……</color>+<color=#00CCFF>軍がビルを爆破しました。</color>+<color=#00CCFF>通信の記録によりますと、エゴールはアンジェを殺し、その後反逆小隊はエゴールを撃ち殺した。</color>+<color=#00CCFF>そして軍はビルを爆破する命令を受け、反逆小隊が生きている可能性もほぼありません。</color>+<color=#00CCFF>指揮官、ここで任務終了です。</color>+<color=#00CCFF>十分後、既定ルートにて指揮官の救出に向かいます。</color>+<color=#00CCFF>あなたを助けて、最後の任務を終わらせます……</color>
()||<BIN>9</BIN><黑屏2><黑屏1>:……
()||<BIN>158</BIN><黑屏2><BGM>BGM_Empty</BGM>:……
Nyto(0)<Speaker>ネイト</Speaker>||<BGM>BGM_Truth</BGM>:この状況下で、まだこのような嘘を吐けるとは。+グリフィンの指揮官、あなたの実力を過小評価していた。+あなたの命を保証する前提で、投薬を増やす必要がある。
Nyto(0)<Speaker></Speaker>||:ネイトは自白剤をもう一本取り出し、私の体に注射した。
Nyto(0)<Speaker></Speaker>||<闪屏><duration>5</duration></闪屏>:自白剤はすぐに効果を現した。//nだが私はまだ抵抗できる、まだ少しだけその意志が残っている。//nただ、これがもう最後になるかもしれない……
Nyto(0)<Speaker>ネイト</Speaker>||:アンジェは、死んでいない。少なくとも、あの戦いでは。彼女は、私たちの一人を殺した、この目で見た。+だから教えて、彼女はどうやって生き残ったのか。彼女は、誰と接触したのか。
Nyto(0)<Speaker></Speaker>||:私は思いつくことを全て話すつもりだ。+嘘も、真実も、こいつらに判断させればいい。+こいつらが欲しがっている真実は知っている。それを言ったら、自分がどうなるのかもわかっている。
Nyto(0)<Speaker>ネイト</Speaker>||:人間は、脆い。すぐに、壊れる。+もし、健全な体と健全な精神で、この建物から出たければ、目の前のチャンスを大事にするべき。真実を、言うべき。
()||:だから、時間が必要だ……それと、薬に対抗できる嘘も。+果たしてアンジェさんはあと何回、私の物語で死ぬことになるだろう？+少なくとも、私が生き延びるまで、彼女は死に続けなければならない……+……
()||<黑屏1>:
