()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>169</BIN><黑屏2><BGM>BGM_Room</BGM>:……隔離壁の裏側。
()<Speaker></Speaker>||:アンジェリアは通信を開いた。
NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>余計なことは口にするなと言ったはずだ。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:……+壁にまた穴をあけられたわ、現在対処中よ。
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>お前たちの任務は「バラクーダ」ノードの偵察だ、穴をふさぐことじゃない。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:このまま状況が悪化し続ければ、偵察どころじゃなくなるわ。+支援をよこせないのなら、情報ぐらいは//n提供してもらわないと、割に合わないわね。+むこうの状況は？
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>グリフィンのことか？</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:そうよ。+あの指揮官の任務はなんなの？
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>国連の主席の護衛だ。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:ったく……よくそこまで信用できたものね。+言ったわよね、あの指揮官は巻き込みたくないと。
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>偶然だな、オレたちの意見が一致するとは。</color>+<color=#00CCFF>だが、あいつは今や、なくてはならない存在だ。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:任務を「外部の人間」に任せて、本当にかまわないの？
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>あいつを心配してるのか？</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:……そうは言ってないでしょ。
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>外部の人間にかわりはないが、あいつらにとっては、グリフィンの火種を守ることができる最後のチャンスだ。</color>+<color=#00CCFF>――それで、お前はそれを止めようというのか？</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:グリフィンがどうなろうと、知った事じゃないわ。
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>そうか。てっきり、まだ情を抱いているのかと思ったよ。</color>+<color=#00CCFF>いずれにせよ、オレたちはエージェントを全て失っている。</color>+<color=#00CCFF>今やあのグリフィンの指揮官だけが、頼みの綱だ。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;NPC-Jason(0)||:……+グリフィンなら、任務は問題ないとは思うわ、でも……
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>確かに、撤退は今のところ順調だ。</color>+<color=#00CCFF>さて、これがお前の欲しがってた情報だ。どうだ、任務は遂行できそうか？</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>||:……チッ。
()<Speaker></Speaker>||<黑屏1>:――通信終了。
